Date,Sleep Quality,Hours Slept,Awake,Light Sleep,REM,Deep Sleep,Weather PM,Weather AM,Mood PM,Mood AM
Feb. 21,83%,6hrs. 16min.,1%,44%,21%,25%,Cold,Cold,OK,Ok
Feb. 22,88%,7hrs. 42min.,0%,35%,32%,34%,Cold,Warm ,Good,Good
Feb. 23,86%,7hrs. 30min.,0%,33%,34%,37%,Warm,Warm ,Good,OK
Feb. 24,80%,5hrs. 42min.,0%,48%,23%,29%,Cold,Cold,OK,OK
Feb. 25,76%,6hrs. 29min.,1%,41%,27%,30%,Cold,Cold,OK,Good
Feb. 26,70%,5hrs. 2min. ,12%,45%,17%,26%,Warm,Cold,OK,Sad
Mar. 1,78%,5hrs. 56min.,1%,38%,22%,39%,Cold,Warm ,Good,Good
Mar. 2,86%,6hrs. 23min.,1%,35%,33%,31%,Warm,Warm ,Good ,Good
Mar. 3,79%,6hrs. 36min.,0%,33%,25%,33%,Warm ,Warm ,Good ,Good
Mar. 4,77%,5hrs. 45min.,1%,43%,30%,34%,Cold,Cold,OK,OK
